customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_tickets,usage_hours,last_payment_days_ago,is_autopay,discount_used,churn
CUST_1,56,12,91.49,6197.09,Month-to-month,Cash,Fiber Optic,5,56.59,7,1,1,0
CUST_2,69,47,77.9,3401.47,Month-to-month,Bank Transfer,DSL,3,1.03,39,0,0,0
CUST_3,46,18,21.46,6012.41,Month-to-month,UPI,DSL,2,12.31,22,0,1,1
CUST_4,32,21,56.04,7694.54,Month-to-month,Credit Card,Fiber Optic,7,38.14,41,1,0,0
CUST_5,60,13,80.48,3725.86,One year,Credit Card,DSL,4,6.28,31,0,1,1
CUST_6,25,21,58.75,1983.57,One year,Bank Transfer,Fiber Optic,5,14.22,13,0,0,1
CUST_7,38,8,106.35,7540.35,Month-to-month,Bank Transfer,Fiber Optic,1,23.95,41,1,0,1
CUST_8,56,46,50.88,4869.58,Month-to-month,UPI,Fiber Optic,7,43.53,41,1,1,0
CUST_9,36,7,49.35,931.59,Month-to-month,Cash,Fiber Optic,2,71.77,29,1,0,0
CUST_10,40,23,46.6,4624.19,Month-to-month,Credit Card,Fiber Optic,5,14.14,28,0,1,1
CUST_11,28,22,53.28,4054.59,Month-to-month,Cash,Fiber Optic,3,74.06,44,1,1,0
CUST_12,28,22,75.74,6859.15,Month-to-month,UPI,DSL,6,85.65,19,0,0,1
CUST_13,41,29,90.7,4292.49,One year,Credit Card,Fiber Optic,3,65.5,23,0,1,0
CUST_14,53,13,86.26,2116.34,Month-to-month,UPI,DSL,3,5.33,8,1,0,1
CUST_15,57,2,100.77,5437.59,Month-to-month,Bank Transfer,DSL,3,44.62,25,1,0,1
CUST_16,41,29,108.59,4386.35,One year,UPI,Fiber Optic,5,66.35,38,0,0,1
CUST_17,20,52,101.61,1941.05,Month-to-month,Bank Transfer,No,6,97.87,38,1,0,1
CUST_18,39,27,21.89,4631.66,One year,Cash,DSL,4,95.23,35,1,0,0
CUST_19,19,50,93.59,6590.13,Month-to-month,Credit Card,DSL,4,40.17,26,0,0,1
CUST_20,41,23,40.84,325.71,Month-to-month,Credit Card,DSL,1,61.98,3,0,0,0
CUST_21,61,44,33.29,5083.72,Month-to-month,Cash,Fiber Optic,5,89.19,2,0,0,1
CUST_22,47,22,83.85,2861.72,Two year,Bank Transfer,Fiber Optic,7,83.27,5,1,1,0
CUST_23,55,43,51.97,2412.1,Month-to-month,Credit Card,DSL,7,48.46,20,0,0,1
CUST_24,19,37,25.71,3201.44,Two year,UPI,Fiber Optic,6,26.86,12,0,0,0
CUST_25,38,61,33.76,2801.98,Month-to-month,Bank Transfer,Fiber Optic,7,14.57,38,1,0,0
CUST_26,50,56,20.09,6674.69,Month-to-month,Credit Card,Fiber Optic,6,49.31,16,1,0,0
CUST_27,29,3,110.32,2270.9,Month-to-month,UPI,Fiber Optic,3,72.56,37,1,1,1
CUST_28,39,63,22.46,5891.91,Month-to-month,UPI,Fiber Optic,7,97.01,38,0,0,1
CUST_29,61,19,40.95,843.07,Month-to-month,Credit Card,Fiber Optic,4,86.32,36,1,1,1
CUST_30,42,23,61.63,7616.03,Month-to-month,Cash,Fiber Optic,5,21.22,29,1,0,1
CUST_31,66,29,55.66,5016.3,Month-to-month,Cash,DSL,2,72.26,35,0,1,1
CUST_32,44,30,111.17,5683.08,Month-to-month,Credit Card,Fiber Optic,4,29.62,37,0,1,1
CUST_33,59,39,24.03,2454.51,Month-to-month,UPI,Fiber Optic,7,68.66,21,1,0,1
CUST_34,45,25,71.22,3355.56,Month-to-month,Cash,DSL,4,66.91,21,1,0,0
CUST_35,33,8,88.05,1867.85,Month-to-month,Cash,DSL,6,27.97,28,0,0,1
CUST_36,32,58,113.17,7467.04,One year,Cash,DSL,1,24.2,6,0,1,1
CUST_37,64,16,82.04,3956.03,Two year,Bank Transfer,No,4,11.29,20,1,0,1
CUST_38,68,1,100.38,5080.54,Month-to-month,Cash,DSL,2,6.0,36,1,1,1
